"Story","Title","Result","Date","Stability","Duration (s)"
"Get Internet By Id","User berhasil mendapat data wifi dari id","SUCCESS","2023-06-23T05:55:59.0886112+07:00[Asia/Jakarta]","0.0","0.62"
"Get PDAM By Id","User berhasil mendapat data PDAM dari id","SUCCESS","2023-06-23T05:56:00.2409683+07:00[Asia/Jakarta]","0.0","0.44"
"Login User","User mendapatkan data token dari fitur login","SUCCESS","2023-06-23T05:56:00.7246652+07:00[Asia/Jakarta]","0.0","0.29"
"Login User","User tidak mendapatkan data token dari fitur login karena kredensial password tidak valid","SUCCESS","2023-06-23T05:56:01.0537716+07:00[Asia/Jakarta]","0.0","0.31"
"Login User","User tidak mendapatkan data token dari fitur login karena nama email tidak terdaftar","SUCCESS","2023-06-23T05:56:01.4073763+07:00[Asia/Jakarta]","0.0","0.18"
"Login User","User tidak mendapatkan data token dari fitur login karena parameter email tidak diisi","SUCCESS","2023-06-23T05:56:01.6094417+07:00[Asia/Jakarta]","0.0","0.35"
"Update Image","User belum berhasil mengubah gambar profil karena tidak authorization","SUCCESS","2023-06-23T05:56:06.0225535+07:00[Asia/Jakarta]","0.0","0.17"
"Delete PPD use id by Admin","Admin berhasil menghapus salah satu id pulsa","SUCCESS","2023-06-23T05:56:06.224053+07:00[Asia/Jakarta]","0.0","0.37"
"Delete PPD use id by Admin","Admin berhasil menghapus salah satu id paket data","SUCCESS","2023-06-23T05:56:06.6152333+07:00[Asia/Jakarta]","0.0","0.37"
"Delete PPD use id by Admin","Admin belum berhasil menghapus salah satu id pulsa karena belum login","SUCCESS","2023-06-23T05:56:06.998351+07:00[Asia/Jakarta]","0.0","0.17"
"Get All PPD by Admin","Admin berhasil mendapat detail semua paket data dan pulsa (Telkomsel)","SUCCESS","2023-06-23T05:56:07.2054731+07:00[Asia/Jakarta]","0.0","0.38"
"Get All PPD by Admin","Admin berhasil mendapat detail semua pulsa (Telkomsel)","SUCCESS","2023-06-23T05:56:07.6075878+07:00[Asia/Jakarta]","0.0","0.85"
"Get All PPD by Admin","Admin belum berhasil mendapat detail semua paket data dan pulsa (Telkomsel) karena tidak login terlebih dahulu","SUCCESS","2023-06-23T05:56:08.4785958+07:00[Asia/Jakarta]","0.0","0.13"
